Sample,Stim,Culture,Donor,Fold exp,CAR,4_8,4_NSCM,4_E,4_CM,4_EM,4_25,4_137,4_+/+,4_+/-,4_-/+,4_-/-,8_NSCM,8_E,8_CM,8_EM,8_25,8_137,8_+/+,8_+/-,8_-/+,8_-/-
0.25,3,A,AC3,226.5,36.5,2.244147157,8.99,7.61,61.1,22.3,99.4,7.4,37,32.1,13,17.9,14.4,11.1,48.2,26.3,99.6,48.5,27,4.96,54.2,13.8
0.3,3.6,A,AC3,208,35.9,2.670454545,9.33,7.81,62.8,20.1,99.7,13.5,41.5,30.3,13.9,14.2,13.4,11.5,47.3,27.8,99.7,59.8,31.9,5.05,53.7,9.28
D1:1,0.4,D,AC4,201,34.5,6.270072993,12.9,56.4,9.31,21.4,75.5,3.61,17,2.22,67.7,13,19.7,71.2,3.98,5.12,57.3,3.55,3.51,0.25,90,6.23
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
0.1,1.2,A,AC4,200,32.7,6.595419847,4,33,23.3,21.7,96.6,1.8,34.3,4.56,50.1,11.1,37,41.4,11.5,10.1,94.3,1.45,16.1,0.68,80,3.28
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
D1:1,0.4,D,AC6,85,62.5,2.702290076,21.6,14.9,52.3,11.2,99.1,23.2,22.7,25.2,26.6,25.4,47.2,13.3,29.8,9.67,95.5,52.8,11.2,4.25,71.4,13.1
D3:1,1.2,D,AC6,23.25,81.8,2.657794677,8.63,10.4,51.8,29.2,99.3,31.5,42.9,28.5,14.7,13.9,26.9,14.6,37.5,20.9,96.6,58.1,25.6,9.04,52.7,12.6
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T1:5,0,T,AC6,15.25,47.7,4.135416667,12.8,20.7,47.3,19.3,98.8,6.58,23.8,21.6,24.1,30.5,25.7,20.3,38.6,15.4,99.1,20.1,27.1,7.86,50.6,14.4
T1:10,0,T,AC6,9.7,45.1,3.493150685,10.4,17.4,49.2,22.9,98.5,6.24,25.5,20,26.3,28.2,24,21.2,38.9,15.9,98.7,15.8,24.6,7.23,55,13.2
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
0.02,0.24,A,AC6,116,30.3,2.61423221,7.5,38.3,17.7,36.5,79.4,4.51,10.7,13.1,31.4,44.8,18,48.7,20.5,12.8,82.3,16.9,4.87,3.01,65,27.1
0.05,0.6,A,AC6,200.5,33,2.343642612,8.35,39.1,21.2,31.3,83.4,4.79,13.8,13.6,32.2,40.5,22.6,47.2,18.7,11.5,89.6,16,5.54,2.11,70.8,21.6
